@relation questionCategory
@attribute article string
@attribute Class  {"ќѕг« " , "Ёж« н—", "«ќ—м"}
@data
"«не «н‘ ен ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ »∆ѕ— «ЁЏб ќѕг… «б ћж«б Џбм ћж«бн «–« «д« ћ«н гд »—«","ќѕг« "
"»∆ѕ— «»Џ  г”ћ «Ћд«Ѕ ќѕг… «б ћж«б","ќѕг« "
"янЁ »∆ѕ— «”гЏ «б—”«б… «б’ж н… «Ћд«Ѕ ќѕг…  ћж«б","ќѕг« "
"янЁ »∆ѕ— «Ќян гЏ «бд«” ж «” ∆»б гя«бг«  гдег «Ћд«Ѕ ќѕг… «б ћж«б","ќѕг« "
"»∆ѕ— «” Џгб ћж«бн дЁ”е «Ћд«Ѕ ќѕг… «б ћж«б","ќѕг« "
"«д« Ё« ж—… »∆ѕ— «” Џгб ќѕг…  ћж«б","ќѕг« "
"«н‘ ен ќѕг…  ж√г ћж«бн","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"«н‘ «бќѕг«  «б —Ёнен… «бн » жЁ—же«","ќѕг« "
"янЁ »ёѕ— «жѕн г”ћ «—ћЏбн","ќѕг« "
"янЁ »ёѕ— «ЁЏб «бж”«∆Ў «бг Џѕѕ… Џће«“н","ќѕг« "
"янЁ »ёѕ— «џн— «џдн… —дбн","ќѕг« "
"янЁ »ёѕ— «”жн гя«бг«  ж «д« »—«","ќѕг« "
"«не «д« ћн  ЏЁб”Ўнд ЁянЁ »ёѕ— «ЁЏб «б ћж«б","ќѕг« "
"янЁ »ёѕ— «жѕн —”«∆б Џ«б ћж«б ж яг » ябЁдн","ќѕг« "
"«н‘ «бЁ—ё »нд «бгя«бг«  ж «д« »—« «б»бѕ ж «бгя«бг«  «бѕжбн…","ќѕг« "
"»ёѕ— «ЁЏб «б»—нѕ «б’ж н ж «д« Џ«б ћж«б","ќѕг« "
"янЁ »ёѕ— «” ё»б ж «—”б гя«бг«  ж «д« »—« «б»бѕ","ќѕг« "
"«д« ћж«бн Ё« ж—… »дЁЏ «” ќѕг «б ћж«б","ќѕг« "
"«н‘ ен ќѕг…  Ќжнб «б—’нѕ ж » яжд гћ«дн…","ќѕг« "
"г« ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"янЁ ггяд «‘ —я »«бќѕг«  «б —Ёнен…","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ж ‘ж Ё«нѕ е«","ќѕг« "
"‘ж нЏдн «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« ","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… —дбн","ќѕг« "
"янЁ «Џ—Ё «ѕн‘ ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","ќѕг« "
"янЁ «—д Џбм Ќѕ« бг« «яжд г‘џб… «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ ггяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж » Ё—ё «бгя«бг… «бѕжбн… Џд гя«бг… «б ћж«б","ќѕг« "
"янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… »жё  «б ћж«б","ќѕг« "
"янЁ »∆ѕ— « ’б Џбм «бд«” »—« «б»бѕ бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… «б«ќ»«—","ќѕг« "
"‘ж Ён Џдѕяг ќѕг«   —Ёнен… ж г”бн… ж янЁ »ёѕ— «‘ —я Ёне«","ќѕг« "
"«н‘ ен ќѕг… «—ћЏбн ж янЁ ггяд «ЁЏбе« ж «” Ёнѕ где«","ќѕг« "
"«н‘ нЏдн «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– «бќѕг« ","ќѕг« "
"янЁ »‘ —я »ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб »дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"«н‘ ен ќѕг… —дбн","ќѕг« "
"янЁ »ёѕ— «—д Џбм Ќѕ« бг« «яжд г” Џгб «б ћж«б","ќѕг« "
"«д« ћ«н гд «б«—ѕд ж гЏн ‘—нЌ… “нд янЁ »ёѕ— «‘џб «б ћж«б »‘—я… ћж«б","ќѕг« "
"»ёѕ— «»Џ  —”«∆б бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"янЁ »ёѕ— «”гЏ «б»—нѕ «б’ж н бг« «яжд г‘џб «б ћж«б","ќѕг« "
"янЁ »ёѕ—ж «бд«” н ’бж Џбн бг« «яжд г‘џб «б ћж«б ж яг »ябЁ","ќѕг« "
"ќѕг… «б ћж«б » ‘ џб Џбм «бя—  ж «бЁ« ж—… дЁ” «б«‘н","ќѕг« "
"‘ж »” Ёнѕ гд ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"янЁ »ѕн «‘ —я »«бќѕг«  «б —Ёнен…","ќѕг« "
"ќѕг… «—ћЏбн ‘ж Ё«нѕ е«","ќѕг« "
"«б—”«∆б «б’ж н… янЁ «бџне«","ќѕг« "
"«не »ѕн  »Џ жбн «Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж Ё«∆ѕ… ќѕг… —дбн","ќѕг« "
"янЁ «—д Џбм Ќѕ« ж «д »гдЎё…  ћж«б","ќѕг« "
"янЁ »ѕн «ЁЏб ќѕг… «б ћж«б »ће«“н","ќѕг« "
"янЁ Ён «гя«дн… «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж » Ё—ё «бгя«бг… «бѕжбн… Џд гя«бг… «б ћж«б","ќѕг« "
"бг« √яжд гЁЏб «б ћж«б Ён »—нѕ ’ж н","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« √яжд гЁЏб «б ћж«б","ќѕг« "
"ћж«бн »‘ џб »—« «б»бѕ бг« √яжд гЁЏб «б ћж«б","ќѕг« "
"Џбм √н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн","ќѕг« "
"ггяд  Ќянбн Џд ќѕг…  ж√г ћж«бн","ќѕг« "
"”гЏ  Џд ќѕг… «б«ќ»«— «бЏ«ћб… «н‘ е«н","ќѕг« "
"”гЏ  Џдѕяг ќѕг«   —Ёнен… янЁ »ёѕ— «‘ —я Ёне«","ќѕг« "
"янЁ »ёѕ— «” ќѕг ќѕг… «—ћЏбн","ќѕг« "
"Ён «‘н «”гж ќѕг… «б—”«∆б «б’ж н… ‘ж е«ѕ","ќѕг« "
"‘ж е«н ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў гд жнд »ћн»е«","ќѕг« "
"янЁ »ёѕ— «ћ—н гя«бг«  ж «д« Ён «б ћж«б","ќѕг« "
"«д« ћ«н гд »—« г‘ гд Ёб”Ўнд янЁ »ёѕ— «ЁЏб ќѕг… «б ћж«б ж «д« ћж« Ёб”Ўнд","ќѕг« "
"янЁ »—”б —”«б… «Ћд«Ѕ «б ћж«б ж яг » ябЁ","ќѕг« "
"‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"янЁ »ёѕ— «”гЏ «б»—нѕ «б’ж н  »Џн «Ћд«Ѕ «б ћж«б","ќѕг« "
"ж «д« »«б ћж«б янЁ »ёѕ— « ’б Џ«бд«” «ж ег… н ’бж Џбн","ќѕг« "
"бг« »ЁЏб ќѕг… «б ћж«б «бѕжбн »б“гдн ћж«б  «дн","ќѕг« "
"бж «д« г‘ —я Ё« ж—… «ж ѕЁЏ г”»ё »ёѕ— «‘џб ќѕг… «б ћж«б Џ«бће нд жб« яб ће… бЌ«б","ќѕг« "
"янЁ »∆ѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"ж «д« »«б ћж«б янЁ ггяд «»Џ  —”«∆б","ќѕг« "
"Ён ќѕг…  ћж«б бЁ ж—… ж я— ","ќѕг« "
"янЁ »∆ѕ— «”гЏ «б»—нѕ «б’ж н ж «д« »—«","ќѕг« "
"янЁ «—д ж «” ё»б гя«бг«  ж «д« »—« «б»бѕ","ќѕг« "
"янЁ ггяд «—д ќб«б ќѕг… «б ћж«б","ќѕг« "
"янЁ «ЁЏб ќѕг… «б ћж«б ж «д« »Ёб”Ўнд","ќѕг« "
"‘ж «бЁ—ё »нд гя«бг…  ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"янЁ »∆ѕ— «ЁЏб ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"‘ж «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« ","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен…","ќѕг« "
"‘ж ен ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"џб»я »” ‘ж нЏдн ќѕг…  ж√г ћж«бн","ќѕг« "
"»ѕн «” Ё”— Џд ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"янЁ »ёѕ— «‘ —я Ён «бќѕг«  «б —Ёнен… ж яг » ябЁ","ќѕг« "
"»«бд”»… бќѕг… «—ћЏбн янЁ «б«” ќѕ«г янЁ «бЎ—нё…","ќѕг« "
"‘ж нЏдн «б—”«∆б «б’ж н…","ќѕг« "
"«Џѕ«ѕ«  «бќѕг«  янЁ »ёѕ— «ж’бе«","ќѕг« "
"янЁ »ЁЏб «б—”«∆б «бг Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ »ёѕ— «‘ —я Ён ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"ќѕг… —дбн янЁ »ёѕ— «‘ —я Ёне«","ќѕг« "
"янЁ »ёѕ— «” ќѕг ќѕг… «б ћж«б","ќѕг« "
"янЁ »ёѕ— «ЁЏб «б ћж«б Џдѕн «–« ‘—нЌ н “нд","ќѕг« "
"янЁ »ёѕ— «—”б —”«б… »«б ћж«б","ќѕг« "
"«н‘ «бЁ—ё »нд « ’б ѕжбн ж »нд ќѕг… «б ћж«б","ќѕг« "
"янЁ »” ќѕг «б»—нѕ «б’ж н «бн Ён «б ћж«б","ќѕг« "
"ќѕг… «б ћж«б » “»Ў Џће«“н жб« б«“г «‘ —н ж«Ќѕ","ќѕг« "
"«д« дў«г я—  »ёѕ— «” ќѕг «б ћж«б жб« »” «бЁ« ж—…","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… «б«ќ»«—","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«","ќѕг« "
"‘ж нЏдн «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« ","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"»ёѕ— «»Џ  —”«∆б бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн","ќѕг« "
"Ён »—нѕ ’ж н бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"янЁ »ёѕ— « ’б Џбм «бд«” бг« «яжд »—« «б»бѕ ж гЁЏб «б ћж«б","ќѕг« "
"» ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб… ж янЁ ггяд  ж’бдн «б«ќ»«— «жб »«жб","ќѕг« "
"‘ж Ён Џдѕяг ќѕг«   —Ёнен… ж г”бн…","ќѕг« "
"‘ж ен… ќѕг… «—ћЏбн ж ‘ж »” Ёнѕ где«","ќѕг« "
"‘ж ен… ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ »ёѕ— «Ќ’б Џбм «Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"‘ж Ён Џдѕяг ќѕг… »ёѕ— гд ќб«бе« «»Џ  ’ж—… Џд Ў—нё —”«б…","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ »ёѕ— «—д Џбм Ќѕ« бг« « яжд г‘џб «б ћж«б «бѕжбн","ќѕг« "
"«д« ћ«н гд «б«—ѕд ж гЏн ‘—нЌ… “нд° »ёѕ— «ЁЏб ќѕг… «б ћж«б ж «Ќян Џд Ў—нё ‘»я… ћж«б","ќѕг« "
"‘ж » Ё—ё «бгя«бг… «бѕжбн… Џд гя«бг… «б ћж«б","ќѕг« "
"янЁ »ёѕ— «”гЏ »—нѕн «б’ж н «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ »ёѕ— «—”б ж «” ё»б гя«бг«  ж «д« гЁЏб ќѕг… «б ћж«б","ќѕг« "
"ќѕг… «б ћж«б » ‘ џб Џбм «бЁ« ж—… ж «бя—  дЁ” «б«‘н","ќѕг« "
"‘ж ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… г”бн… Џдѕяг","ќѕг« "
"янЁ ггяд «ЁЏб «ж «” ќѕг ќѕг… «—ћЏбн","ќѕг« "
"янЁ »√ѕ— «” ќѕг ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« ","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б «бг Џѕѕ… «бж”«∆Ў","ќѕг« "
"‘ж ен ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ ггяд «‘ —я »ќѕг… —дбн","ќѕг« "
"‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ »√ѕ— «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж » Ё—∆ «бгя«бг… «бѕжбн… Џд гя«бг… «б ћж«б","ќѕг« "
"янЁ »√ѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"еб —Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"Џбм «н дў«г »√ѕ— «ЁЏб «б ћж«б «бѕжбн","ќѕг« "
"‘ж ен… ќѕг…  ж√г ћж«бн","ќѕг« "
"янЁ »∆ѕ— «‘ —я »ќѕг… «б«ќ»«—","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… Џдѕяг ж √ѕн‘ » ябЁ","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е« ж янЁ »∆ѕ— «” ќѕге«","ќѕг« "
"‘ж нЏдн —”«∆б «б’ж н…","ќѕг« "
"янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќѕ яб «бќѕг« ","ќѕг« "
"янЁ »‘ —я »ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"‘ж ен… ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ »∆ѕ— «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ »∆ѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн","ќѕг« "
"янЁ »∆ѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” » ’бж Џбн бг« √яжд гЁЏб… «б ћж«б","ќѕг« "
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"Џбм √н дў«г »∆ѕ— «ЁЏб «б ћж«б «бѕжбн","ќѕг« "
"«ѕн‘ »ябЁдн  ЁЏнб «бќѕг«  «б —Ёнен…","Ёж« н—"
"«ѕн‘ »ябЁдн «б«‘ —«я »«б«ќ»«— «бЏ«ћб…","Ёж« н—"
"янЁ »Џ—Ё «б—’нѕ «бн гЏн","Ёж« н—"
"янЁ »Џ—Ё —’нѕн »«б ћж«б","Ёж« н—"
"«б—”«б… «Ћд«Ѕ «б ћж«б «ѕн‘ » ябЁ","Ёж« н—"
"‘ж «бЁ—ё »«б”Џ— »нд гя«бг… ѕжбн… ж гя«бг… Џбм «б ћж«б","Ёж« н—"
"янЁ »Ќжб —’нѕ бЌѕ«  «дн","Ёж« н—"
"‘ж »ябЁ «б«‘ —«я »ќѕг…  ж√г ћж«бн","Ёж« н—"
"янЁ »√ѕ— «Џ—Ё —’нѕн","Ёж« н—"
"бг« «яжд гЁЏб «б ћж«б янЁ ггяд «Џ—Ё —’нѕн","Ёж« н—"
"«ѕн‘ » ябЁ «б—”«б… бг« «яжд гЁЏб «б ћж«б","Ёж« н—"
"‘ж Ён Ў—н∆… »√ѕ— гд ќб«бе« «жЁ— —’нѕ бг« «яжд гЁЏб «б ћж«б","Ёж« н—"
"«ѕн‘ »ябЁдн «” ё»«б «бгя«бг«  бг« гЁЏб «б ћж«б","Ёж« н—"
"‘ж б«“г «Џгб Џ‘«д «Ќжб —’нѕ бЌѕ«","Ёж« н—"
"янЁ » Џ»« «б—’нѕ гд «бя— ","Ёж« н—"
"‘ж «”Џ«— я—ж  «бћж«б «бн » »нЏже«","Ёж« н—"
"янЁ »ёѕ— «Џ—Ё яг —’нѕн »«бжё  «бЌ«бн","Ёж« н—"
"‘ж «бЎ—нё… «бн ггяд «Џ—Ё Ёне« яг —’нѕн","Ёж« н—"
"янЁ «ћ—н Џгбн… «б«” Џб«г Џд «б—’нѕ","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"янЁ »” Џбг Џд —’нѕн бг« «” ќѕг «б ћж«б","Ёж« н—"
"янЁ «ЁЏб  —‘нѕ «б«” еб«я «Ћд«Ѕ «б ћж«б","Ёж« н—"
"янЁ «жЁ— «” еб«я «б—’нѕ бг« «яжд гЁЏб «б ћж«б","Ёж« н—"
"‘ж «бЎ—нё… «бн «Ќѕ г’«—нЁ ќѕг… «б ћж«б","Ёж« н—"
"янЁ »ёѕ— «Џ—Ё яг —’нѕн »«бжё  «бЌ«бн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"г« ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ нгяд «÷«Ё… «б—’нѕ гд ќб«б »Ў«ё«  «б Џ»∆… Џбм «бћж«б","Ёж« н—"
"г« ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"‘ж «бЎ—нё… «бн ггяд «Џ—Ё Ёне« яг —’нѕн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"‘ж «бЎ—нё… «бн «Ќѕ г’«—нЁ ќѕг… «б ћж«б","Ёж« н—"
"г« ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ нгяд «÷«Ё… «б—’нѕ гд ќб«б »Ў«ё«  «б Џ»∆… Џбм «бћж«б","Ёж« н—"
"г« ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"‘ж «бЎ—нё… «бн ггяд «Џ—Ё Ёне« яг —’нѕн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"‘ж «бЎ—нё… «бн «Ќѕ г’«—нЁ ќѕг… «б ћж«б","Ёж« н—"
"г« ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ нгяд «÷«Ё… «б—’нѕ гд ќб«б »Ў«ё«  «б Џ»∆… Џбм «бћж«б","Ёж« н—"
"г« ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё —’нѕн","Ёж« н—"
"янЁ »∆ѕ— «” Џбг Џд «б—’нѕ «Ћд«Ѕ «б ћж«б","Ёж« н—"
"янЁ »ёѕ— «ќЁЁ г’—жЁн «Ћд«Ѕ «б ћж«б","Ёж« н—"
"янЁ »∆ѕ— «Ќжб —’нѕ бЌѕ","Ёж« н—"
"янЁ ггяд «÷нЁ —’нѕ гд ќб«б «бя— ","Ёж« н—"
"‘ж Ён Ё∆«  «б Џ»∆… бя—  «бћж«б","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё «ѕн‘ гЏн —’нѕ »«бж∆  «бЌ«бн","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё «ѕн‘ гЏн —’нѕ «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"еб Ён Ў—н∆… «жЁ— «” еб«я —’нѕ бг« √яжд г‘џб «б ћж«б","Ёж« н—"
"‘ж ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »∆ѕ— «Џ»н я—  Џбм «бћж«б  «Џн","Ёж« н—"
"‘ж ен Ё∆«  «б Џ»∆… бя—  «бћж«б","Ёж« н—"
"‘ж ен Ё∆«  «б Џ»∆… «бќ«’… »ћж«б","Ёж« н—"
"Ќ«»» «” Џбг Џд —’нѕн","Ёж« н—"
"янЁ »Џ—Ё ёѕн‘ ’—Ё  «Ћд«Ѕ ќѕг… «б ћж«б «бѕжбн","Ёж« н—"
"янЁ ггяд «жЁ— «” еб«ян бб—’нѕ «Ћд«Ѕ «” ќѕ«гн ќѕг… «б ћж«б","Ёж« н—"
"г« ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ ггяд «÷нЁ —’нѕ гд ќб«б ћж«б","Ёж« н—"
"«џб»я «бќѕг«  «б —Ёнен… Џдѕяг яг » ябЁ «б«‘ —«я Ёне«","Ёж« н—"
"янЁ ггяд «Џ—Ё яг «б—’нѕ «бЌ«бн «бн гЏн","Ёж« н—"
"яг »ябЁдн « ’б »‘ќ’ «Ћд«Ѕ «б ћж«б","Ёж« н—"
"янЁ ггяд «ќЁЁ «б я«бнЁ «бн Џбн ж «д« »Џгб —жгдџ","Ёж« н—"
"«н‘ «бЁ—ё »«б ябЁ… »нд «бгя«бг… «бѕжбн… ж «бгя«бг… «Ћд«Ѕ «б ћж«б","Ёж« н—"
"»«бд”»… бќѕг… «—ћЏбн ёѕн‘ б«“г няжд гЏн —’нѕ Џ‘«д «ёѕ— «ЁЏб е«н «бќѕг…","Ёж« н—"
"янЁ »ѕн «Џ—Ё ёѕн‘ ÷«нб гЏн —’нѕ","Ёж« н—"
"ёѕн‘ »ябЁдн «” ё»«б «бгя«бг«  «Ћд«Ѕ «б ћж«б »нд «б‘»я« ","Ёж« н—"
"ёѕн‘ »ябЁдн «ћ—«Ѕ «бгя«бг«  «Ћд«Ѕ «б—жгдџ »нд «б‘»я« ","Ёж« н—"
"бг« «яжд Џ«гб —жгдџ »—« «б»бѕ яг » ябЁдн «б—”«б…","Ёж« н—"
"янЁ нёѕ— «ЁЏб  —‘нѕ «б«” еб«я ж «д« Џ«гб —жгдџ","Ёж« н—"
"янЁ »ѕн «Џ—Ё √ѕн‘ —’нѕн","Ёж« н—"
"янЁ »Џ—Ё √ѕн‘ ябЁдн «б ћж«б","Ёж« н—"
"ггяд  ‘—Ќбн ‘ж ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »∆ѕ— «Џ»н —’нѕ гд ќб«б »Ў«ё«  «б Џ»∆…","Ёж« н—"
"‘ж ен √дж«Џ «б Џ»∆… »я—ж  ћж«б","Ёж« н—"
"янЁ «жЁ— Џбм Ќ«бн г’«—н ж «д« »«б ћж«б","Ёж« н—"
"‘ж ен  ябЁ… ќѕг… «б—”«∆б «б’ж н…","Ёж« н—"
"ёѕн‘ »ябЁдн «б«‘ —«я »ќѕг… —дбн","Ёж« н—"
"янЁ ггяд «Џ—Ё —’нѕн","Ёж« н—"
"ж «д« ‘«»я Џ‘»я«  »—… »«б ћж«б ёѕн‘ » ябЁдн «бгя«бг«  Џ‘«д «д« «ћ—не«","Ёж« н—"
"ёѕн‘  ябЁ… «б—”«б… «Ћд«Ѕ «б ћж«б","Ёж« н—"
"«н‘ «бЁ—ё «б”Џ—н »нд «бгя«бг… Ён «б—жгндћ ж «бгя«бг… «бѕжбн…","Ёж« н—"
"»ѕн «Џ—Ё яѕн‘ ÷б »—’нѕн","Ёж« н—"
"»ѕн «Џ—Ё янЁ «” Ё”— Џд —’нѕн ж «д« Ён ќѕг… «б ћж«б","Ёж« н—"
"»ѕн «”√б Џд «де янЁ «Џгб  —‘нѕ бб«” еб«я бќѕг… «б ћж«б","Ёж« н—"
"»ѕн «”√б «не ‘ж » Ё—ё »«б”Џ— гя«бг… «б ћж«б Џд «бгя«бг… «бѕжбн…","Ёж« н—"
"‘ж ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"«‘ —н  я—  ћж«б ж »ѕн «Џ—Ё янЁ «Џ»н —’нѕ где","Ёж« н—"
"янЁ ггяд «Џ—Ё —’нѕн","Ёж« н—"
